url,input
https://www.fightbookmma.com/japans-kaito-ono-challenges-tyjani-beztati-at-glory-87,"Beztati won the vacant title back at GLORY 78 thanks to a unanimous decision victory over America’s Elvis Gashi and has defended the title three times in total since. Most recently, the 25-year-old put on a flawless, career-defining performance defeating featherweight champ Petch and securing his spot as arguably the best lightweight on the planet today."
https://www.fightbookmma.com/japans-kaito-ono-challenges-tyjani-beztati-at-glory-87,"This fight will serve as the co-main event of the evening which will feature a thrilling four-man one-night heavyweight tournament. Martin Terpstra (21-5, 11 KO), Mohamed Amine (29-5, 16 KO), Bahram Rajabzadeh (62-1, 56 KO), and Uku Jürjendal (18-7, 14 KO) will all compete for a chance to enter the historic GLORY Heavyweight Grand Prix this December."
https://www.fightbookmma.com/collision-5-results-osaro-upsets-on-a-night-of-champions,"Tariq ‘Cookie’ Osaro (25-2-1, 13 KO) caused a huge upset in the main event as he defeated friend & teammate Antonio Plazibat (22-5, 16 KO) with an emphatic fifth-round finish to capture the interim GLORY heavyweight title. In doing so, he made history by becoming the first ever Nigerian to become a GLORY champion."
https://www.fightbookmma.com/collision-5-results-osaro-upsets-on-a-night-of-champions,"In the co-main event, Tarik Khbabez (49-10-1, 27 KO) stopped a valiant Mohamed Amine (29-5, 16 KO) in the fourth round to become the interim GLORY light heavyweight champion. Khbabez was originally set to face Donegi Abena, however, the champ withdrew due to an illness during fight week and in-stepped Amine for the newly created interim title."
https://www.fightbookmma.com/collision-5-results-osaro-upsets-on-a-night-of-champions,"Middleweight champion Donovan Wisse (18-1, 10 KO) reminded everyone just why he is one of the P4P best in the world with a complete shutout victory over Turkey’s Serkan Ozcaglayan (45-7, 36 KO)."
https://www.fightbookmma.com/collision-5-results-osaro-upsets-on-a-night-of-champions,"Elsewhere on the main card, Ibrahim El Bouni (41-8-1, 22 KO) improved to 4-0 in GLORY with a clinical decision over Brazil’s Felipe Micheletti (17-11, 5 KO) and, kicking-off the PPV, Michael Boapeah (15-3-1, 7 KO) knocked Ulric Bokeme’s (31-4, 17 KO) teeth out in the first round."
https://www.fightbookmma.com/collision-5-results-osaro-upsets-on-a-night-of-champions,"In the COLLISION 5 prelims, big Nabil Khachab (26-4-1, 4 KO) scored a dominant victory over German veteran Vladimir Tok (51-19, 28 KO), France’s Diaguely Camara (23-4-1, 10 KO) stopped Eduard Gafencu (17-4, 11 KO) with a knee in the second round, and Croatia’s Andrej Kedves (19-4, 7 KO) defeated Mareks Pelcis (10-3, 5 KO) with an entertaining decision victory in the opening bout of the night."
https://www.fightbookmma.com/tiffany-van-soest-vs-sarah-moussaddak-2-set-for-glory-88-in-paris,"Considered by many to be the P4P best female kickboxer on the planet, van Soest is reigning and defending GLORY women’s super bantamweight champion. The American is a two-time GLORY champion and is currently on a five-fight win streak which includes her triumphant victory over Anissa Meksen to regain her crown at GLORY 71 in Chicago."
https://www.fightbookmma.com/tiffany-van-soest-vs-sarah-moussaddak-2-set-for-glory-88-in-paris,This loss has only added fuel to the fire for Moussaddak and the French Moroccan bounced back with a dominant win over Giuliana Cosnard at GLORY 86. Heading into the fight the 23-year-old had her eyes focused on the rematch with van Soest and used it as motivation.
https://www.fightbookmma.com/tiffany-van-soest-vs-sarah-moussaddak-2-set-for-glory-88-in-paris,Now the duo will finally settle the score once and for all at GLORY 88 on September 9 at the Dome De Paris in France.
https://www.fightbookmma.com/fightbookmmas-box-office,FightBook MMA Box Office is where you can buy tickets for all your Combat Sports Events and Concerts
https://www.fightbookmma.com/fightbookmmas-box-office,"Scroll down so you can find any upcoming MMA, Boxing, and UFC & Concerts near you."
https://www.fightbookmma.com/karate-combat-39-results,"The main event saw Luiz Rocha defends his belt Bruno Souza. The co-main event comes in the middleweight division, as Raymond Daniels took on UFC veteran Sasha Palatnikov."
https://www.fightbookmma.com/miami-to-host-three-event-karate-combat-series-starting-april-1,"MediaPro Studios will serve as the host venue for the hottest property in combat sports when it returns to Miami with its unparalleled live event experience, blending live action with CGI virtual production built on Epic Games’ Unreal Engine."
https://www.fightbookmma.com/miami-to-host-three-event-karate-combat-series-starting-april-1,Middleweight champion ‘Turbo’ Ross Levine will lay his belt on the line against Spanish antagonist Igor ‘The Iberian Bull’ de Castaneda in a fight which will reignite one of the most intense rivalries in Karate Combat history.
https://www.fightbookmma.com/miami-to-host-three-event-karate-combat-series-starting-april-1,"When Levine and De Castaneda were first matched in a title-shot eliminator in Karate Combat: Season 4, the dislike was instant and mutual. When De Castaneda took issue with Levine’s “arrogant” social media posts, a war of words turned into a feud which led to the two having to be separated at a press conference before a heated battle which Levine won by TKO."
https://www.fightbookmma.com/miami-to-host-three-event-karate-combat-series-starting-april-1,"In the co-headline bout, Irish bantamweight champion Eoghan Chelmiah and Peru’s Jesus Lopez will pick up where they left off in December, when their five-round KC 37 title war concluded with an officiating error which saw Lopez incorrectly announced as the winner when the scorecard totals actually favored Chelmiah."
https://www.fightbookmma.com/miami-to-host-three-event-karate-combat-series-starting-april-1,Fuel was added to the fire due to many of the crowd – and live broadcast viewership – feeling that the judges should have had Lopez as the winner of the fight in the first place. Certainly the Peruvian gave Chelmiah by far the toughest test of his Karate Combat career to date – and now heads into the rematch inflamed by a sense of injustice.
https://www.fightbookmma.com/karate-combat-statement-on-chelmiah-vs-lopez-ii-fight-cancellation,Karate combat will attempt to reschedule chelmiah vs lopez ii pending medical fitness.
https://www.fightbookmma.com/karate-combat-statement-on-chelmiah-vs-lopez-ii-fight-cancellation,"As Jesus Lopez has made weight in the Karate Combat bantamweight division multiple times in the recent past, the organization will attempt to reschedule the bout in the near future, pending medical fitness."
https://www.fightbookmma.com/wpautoterms/adchoices,The Web sites you visit work with online advertising companies to provide you with advertising that is as relevant and useful as possible. Some of the ads you receive on Web pages are customized based on predictions about your interests generated from your visits over time and across different Web sites. This site is in compliance with the Self-Regulatory Program for Online Behavioral Advertising. The goal of Ad Choices is to provide you with information about how online advertising works and the choices you have.
https://www.fightbookmma.com/wpautoterms/adchoices,Please read about FightBook MMA’s practices in its privacy policy.
https://www.fightbookmma.com/wpautoterms/adchoices,What choices do I have about interest-based advertising on this site?
https://www.fightbookmma.com/wpautoterms/adchoices,Visit the http://www.aboutads.info/choices page to learn more about online behavioral advertising and to see your opt-out choices from companies that are participants in the Self-Regulatory Program for Online Behavioral Advertising.
https://www.fightbookmma.com/wpautoterms/adchoices,"Note: If you choose to opt out, you will still see ads, but these ads will not be customized based on your interests generated from your visits over time and across different Web sites."
https://www.fightbookmma.com/contact-us,"If you have any questions or concerns or just need to reach out to the staff, you can email FightBook MMA and we will get back to you as soon as possible."
https://www.fightbookmma.com/awards-received,"The FightBook MMA Team would like to thank everyone for your continued support. Without y’all, we wouldn’t have won these awards. Scroll down to take a look at our accomplishments so far. From all of us here at FightBook MMA, LLC, we want to say Thank you!!"
https://www.fightbookmma.com/awards-received,"Awarded Top 50 MMA Blogs 2018, 2019, 2020, 2021, 2022, 2023"
https://www.fightbookmma.com/awards-received,"Awarded Top 40 Boxing Blogs 2018, 2019, 2020, 2021, 2022, 2023"
https://www.fightbookmma.com/awards-received,Best International Combat Sports News Platform 2019
https://www.fightbookmma.com/awards-received,Most Outstanding International Combat Sports News Platform 2021
https://www.fightbookmma.com/8-fantastic-jobs-for-mma-fighters,These positions can offer schedule flexibility as long as you attend sales meetings and meet quotas. Sales jobs can range from selling a few products to individuals to substantial enterprise sales.
